timestamp,city,temperature,description
2025-12-19T08:20:49.920Z,Manchester,7.17,broken clouds
2025-12-19T08:20:49.922Z,Manchester,7.17,broken clouds
2025-12-19T10:15:59.100Z,Manchester,7.87,few clouds
2025-12-19T10:15:59.102Z,Manchester,7.87,few clouds
2025-12-19T12:29:04.857Z,Manchester,9.69,few clouds
2025-12-19T12:29:04.859Z,Manchester,9.69,few clouds
2025-12-19T14:15:27.508Z,Manchester,10.24,scattered clouds
2025-12-19T14:15:27.510Z,Manchester,10.24,scattered clouds
2025-12-19T16:18:32.828Z,Manchester,7.91,broken clouds
2025-12-19T16:18:32.833Z,Manchester,7.9,broken clouds
2025-12-19T18:21:04.545Z,Manchester,7.28,scattered clouds
2025-12-19T18:21:04.547Z,Manchester,7.28,scattered clouds
2025-12-19T20:16:04.143Z,Manchester,7.25,broken clouds
2025-12-19T20:16:04.146Z,Manchester,7.02,broken clouds
2025-12-19T22:14:44.317Z,Manchester,6.37,scattered clouds
2025-12-19T22:14:44.319Z,Manchester,6.37,scattered clouds
2025-12-20T01:04:46.449Z,Manchester,6.34,few clouds
2025-12-20T01:04:46.451Z,Manchester,6.34,few clouds
2025-12-20T03:10:36.191Z,Manchester,5.8,few clouds
2025-12-20T03:10:36.193Z,Manchester,5.8,few clouds
2025-12-20T04:20:22.971Z,Manchester,5.04,few clouds
2025-12-20T04:20:22.972Z,Manchester,5.04,few clouds
2025-12-20T06:21:55.126Z,Manchester,4.65,few clouds
2025-12-20T06:21:55.127Z,Manchester,4.65,few clouds
2025-12-20T08:18:14.084Z,Manchester,4.89,scattered clouds
2025-12-20T08:18:14.085Z,Manchester,4.89,scattered clouds
2025-12-20T10:14:03.270Z,Manchester,5.82,clear sky
2025-12-20T10:14:03.272Z,Manchester,5.82,clear sky
2025-12-20T12:26:04.999Z,Manchester,7.14,few clouds
2025-12-20T12:26:05.002Z,Manchester,7.14,few clouds
2025-12-20T14:13:01.859Z,Manchester,7.53,broken clouds
2025-12-20T14:13:01.861Z,Manchester,7.53,broken clouds
2025-12-20T16:16:40.728Z,Manchester,6.11,clear sky
2025-12-20T16:16:40.730Z,Manchester,6.11,clear sky
2025-12-20T18:18:42.140Z,Manchester,6.38,few clouds
2025-12-20T18:18:42.146Z,Manchester,6.38,few clouds
2025-12-20T20:14:30.196Z,Manchester,6.35,broken clouds
2025-12-20T20:14:30.198Z,Manchester,6.37,broken clouds
2025-12-20T22:13:16.448Z,Manchester,6.36,broken clouds
2025-12-20T22:13:16.451Z,Manchester,6.36,broken clouds
2025-12-21T01:13:30.551Z,Manchester,6.86,broken clouds
2025-12-21T01:13:30.554Z,Manchester,6.86,broken clouds
2025-12-21T03:24:22.496Z,Manchester,6.87,overcast clouds
2025-12-21T03:24:22.498Z,Manchester,6.87,overcast clouds
2025-12-21T04:32:31.213Z,Manchester,7.16,overcast clouds
2025-12-21T04:32:31.216Z,Manchester,7.16,overcast clouds
2025-12-21T06:21:20.714Z,Manchester,7.76,overcast clouds
2025-12-21T06:21:20.715Z,Manchester,7.76,overcast clouds
2025-12-21T08:18:35.968Z,Manchester,7.61,scattered clouds
2025-12-21T08:18:35.970Z,Manchester,7.61,scattered clouds
2025-12-21T10:14:23.131Z,Manchester,8.14,broken clouds
2025-12-21T10:14:23.133Z,Manchester,8.14,broken clouds
2025-12-21T12:26:45.668Z,Manchester,9.82,broken clouds
2025-12-21T12:26:45.670Z,Manchester,9.82,broken clouds
2025-12-21T14:13:11.489Z,Manchester,9.21,broken clouds
2025-12-21T14:13:11.491Z,Manchester,9.21,broken clouds
2025-12-21T16:16:23.487Z,Manchester,9.37,overcast clouds
2025-12-21T16:16:23.489Z,Manchester,9.37,overcast clouds
2025-12-21T18:19:47.078Z,Manchester,9.69,overcast clouds
2025-12-21T18:19:47.082Z,Manchester,9.69,overcast clouds
2025-12-21T20:15:08.718Z,Manchester,9.88,overcast clouds
2025-12-21T20:15:08.720Z,Manchester,9.88,overcast clouds
2025-12-21T22:13:39.569Z,Manchester,9.56,light rain
2025-12-21T22:13:39.570Z,Manchester,9.56,light rain
2025-12-22T01:11:35.644Z,Manchester,9.71,light rain
2025-12-22T01:11:35.646Z,Manchester,9.71,light rain
2025-12-22T03:27:16.606Z,Manchester,9.52,broken clouds
2025-12-22T03:27:16.618Z,Manchester,9.52,broken clouds
2025-12-22T04:34:37.544Z,Manchester,9.32,broken clouds
2025-12-22T04:34:37.546Z,Manchester,9.32,broken clouds
2025-12-22T06:25:20.075Z,Manchester,8.27,broken clouds
2025-12-22T06:25:20.077Z,Manchester,8.27,broken clouds
2025-12-22T08:22:00.802Z,Manchester,8.66,scattered clouds
2025-12-22T08:22:00.804Z,Manchester,8.66,scattered clouds
2025-12-22T10:16:34.597Z,Manchester,8.2,scattered clouds
2025-12-22T10:16:34.599Z,Manchester,8.2,scattered clouds
2025-12-22T12:30:06.840Z,Manchester,8.93,overcast clouds
2025-12-22T12:30:06.842Z,Manchester,8.93,overcast clouds
2025-12-22T14:15:22.340Z,Manchester,9.73,scattered clouds
2025-12-22T14:15:22.342Z,Manchester,9.73,scattered clouds
2025-12-22T16:18:23.107Z,Manchester,8.62,overcast clouds
2025-12-22T16:18:23.109Z,Manchester,8.62,overcast clouds
2025-12-22T18:22:00.104Z,Manchester,7.88,overcast clouds
2025-12-22T18:22:00.106Z,Manchester,7.88,overcast clouds
2025-12-22T20:16:04.416Z,Manchester,8.47,overcast clouds
2025-12-22T20:16:04.418Z,Manchester,8.47,overcast clouds
2025-12-22T22:14:27.810Z,Manchester,8.18,overcast clouds
2025-12-22T22:14:27.813Z,Manchester,8.18,overcast clouds
2025-12-23T01:08:54.769Z,Manchester,8.05,overcast clouds
2025-12-23T01:08:54.771Z,Manchester,8.05,overcast clouds
2025-12-23T03:21:43.823Z,Manchester,7.61,broken clouds
2025-12-23T03:21:43.825Z,Manchester,7.61,broken clouds
2025-12-23T04:32:55.284Z,Manchester,7.14,few clouds
2025-12-23T04:32:55.287Z,Manchester,7.14,few clouds
2025-12-23T06:29:20.017Z,Manchester,6.49,broken clouds
2025-12-23T06:29:20.019Z,Manchester,6.49,broken clouds
2025-12-23T08:21:21.157Z,Manchester,6.89,overcast clouds
2025-12-23T08:21:21.159Z,Manchester,6.89,overcast clouds
2025-12-23T10:16:46.626Z,Manchester,7.54,overcast clouds
2025-12-23T10:16:46.628Z,Manchester,7.54,overcast clouds
2025-12-23T12:30:13.893Z,Manchester,7.52,broken clouds
2025-12-23T12:30:13.896Z,Manchester,7.52,broken clouds
2025-12-23T14:15:23.353Z,Manchester,7.52,broken clouds
2025-12-23T14:15:23.355Z,Manchester,7.52,broken clouds
2025-12-23T16:18:48.398Z,Manchester,6.83,scattered clouds
2025-12-23T16:18:48.400Z,Manchester,6.83,scattered clouds
2025-12-23T18:21:41.907Z,Manchester,7.34,scattered clouds
2025-12-23T18:21:41.909Z,Manchester,7.34,scattered clouds
2025-12-23T20:15:36.600Z,Manchester,6.87,broken clouds
2025-12-23T20:15:36.602Z,Manchester,6.87,broken clouds
2025-12-23T22:14:21.566Z,Manchester,7.11,overcast clouds
2025-12-23T22:14:21.568Z,Manchester,7.11,overcast clouds
2025-12-24T01:07:43.219Z,Manchester,6.51,overcast clouds
2025-12-24T01:07:43.221Z,Manchester,6.51,overcast clouds
2025-12-24T03:18:57.602Z,Manchester,5.73,overcast clouds
2025-12-24T03:18:57.604Z,Manchester,5.73,overcast clouds
2025-12-24T04:30:53.175Z,Manchester,6.03,overcast clouds
2025-12-24T04:30:53.177Z,Manchester,6.03,overcast clouds
2025-12-24T06:23:57.211Z,Manchester,4.36,few clouds
2025-12-24T06:23:57.213Z,Manchester,4.36,few clouds
2025-12-24T08:21:04.160Z,Manchester,4.34,broken clouds
2025-12-24T08:21:04.162Z,Manchester,4.34,broken clouds
2025-12-24T10:15:53.204Z,Manchester,5.22,overcast clouds
2025-12-24T10:15:53.206Z,Manchester,5.22,overcast clouds
2025-12-24T12:29:51.427Z,Manchester,5.61,few clouds
2025-12-24T12:29:51.429Z,Manchester,5.61,few clouds
2025-12-24T14:14:20.061Z,Manchester,5.08,few clouds
2025-12-24T14:14:20.070Z,Manchester,5.36,few clouds
2025-12-24T16:18:12.466Z,Manchester,5.12,scattered clouds
2025-12-24T16:18:12.467Z,Manchester,5.12,scattered clouds
2025-12-24T18:21:18.578Z,Manchester,5.93,broken clouds
2025-12-24T18:21:18.584Z,Manchester,5.93,broken clouds
2025-12-24T20:15:49.502Z,Manchester,4.72,broken clouds
2025-12-24T20:15:49.504Z,Manchester,4.72,broken clouds
2025-12-24T22:14:28.838Z,Manchester,4.05,few clouds
2025-12-24T22:14:28.840Z,Manchester,4.05,few clouds
2025-12-25T01:08:40.337Z,Manchester,4.33,overcast clouds
2025-12-25T01:08:40.348Z,Manchester,4.33,overcast clouds
2025-12-25T03:21:39.021Z,Manchester,4.28,clear sky
2025-12-25T03:21:39.023Z,Manchester,4.28,clear sky
2025-12-25T04:33:04.413Z,Manchester,4.31,broken clouds
2025-12-25T04:33:04.416Z,Manchester,4.31,broken clouds
2025-12-25T06:23:31.029Z,Manchester,4.04,few clouds
2025-12-25T06:23:31.031Z,Manchester,4.04,few clouds
2025-12-25T08:20:26.311Z,Manchester,4.31,clear sky
2025-12-25T08:20:26.313Z,Manchester,4.31,clear sky
